District Name,Block Name,Gram Panchayat Name
Ajmer,Sawar,Kalera Kanwarji
Ajmer,Sawar,Kushayata
Ajmer,Sawar,Mehroo Kalan
Ajmer,Sawar,Nayagaon Meena
Ajmer,Sawar,Para
Ajmer,Sawar,Peeplaj
Ajmer,Sawar,Sadara
Ajmer,Sawar,Sadari
Ajmer,Sawar,Tankawas
Ajmer,Srinagar,Baghsuri
Ajmer,Srinagar,Bhatiyani
Ajmer,Srinagar,Bhawani Khera
Ajmer,Srinagar,Bithoor
Ajmer,Srinagar,Derathoo
Ajmer,Srinagar,Dhal
Ajmer,Srinagar,Dilwara
Ajmer,Srinagar,Jharwasa
Ajmer,Srinagar,Jilawara
Ajmer,Srinagar,Kana Kheri
Ajmer,Srinagar,Kanpura
Ajmer,Srinagar,Lavera
Ajmer,Srinagar,Loharwara
Ajmer,Srinagar,Maoshiya
Ajmer,Srinagar,Nandla
Ajmer,Srinagar,Nyara
Ajmer,Srinagar,Pharkiya
Ajmer,Srinagar,Rajgarh
Ajmer,Srinagar,Rajosi
Ajmer,Srinagar,Ramsar
Ajmer,Srinagar,Samproda
Ajmer,Srinagar,Sanod
Ajmer,Srinagar,Srinagar
Ajmer,Srinagar,Tihari
Ajmer,Srinagar,Tilana
Alwar,Govindgarh,Baroli
Alwar,Govindgarh,Bhainsrawat
Alwar,Govindgarh,Butyana
Alwar,Govindgarh,Chidwai
Alwar,Govindgarh,Dongri
Alwar,Govindgarh,Ghat
Alwar,Govindgarh,Indpur
Alwar,Govindgarh,Itera
Alwar,Govindgarh,Kharsanki
Alwar,Govindgarh,Khera Mahmood
Alwar,Govindgarh,Malpur
Alwar,Govindgarh,Moliya
Alwar,Govindgarh,Naswari
Alwar,Govindgarh,Nizam Nagar
Alwar,Govindgarh,Nyana
Alwar,Govindgarh,Phahri
Alwar,Govindgarh,Ramwas
Alwar,Govindgarh,Ronpur
Alwar,Govindgarh,Saidampur
Alwar,Govindgarh,Salema Khurd
Alwar,Govindgarh,Sheetal
Alwar,Govindgarh,Talra
Alwar,Govindgarh,Tilvad
Alwar,Kathumar,Adoli
Alwar,Kathumar,Arroowa
Alwar,Kathumar,Bahrampura
Alwar,Kathumar,Bahtoo Kalan
Alwar,Kathumar,Barodakan
Alwar,Kathumar,Baseth
Alwar,Kathumar,Berka
Alwar,Kathumar,Bhanokhar
Alwar,Kathumar,Dantiya
Alwar,Kathumar,Daroda
Alwar,Kathumar,Doroli
Alwar,Kathumar,Garoo
Alwar,Kathumar,Indra Colony
Alwar,Kathumar,Ishrota
Alwar,Kathumar,Jadla
Alwar,Kathumar,Jahadoo
Alwar,Kathumar,Jatwara
Alwar,Kathumar,Kalwari
Alwar,Kathumar,Khera Meda
Alwar,Kathumar,Khera Tarf Kalyanpura
Alwar,Kathumar,Kherli Rel
Alwar,Kathumar,Khoh
Alwar,Kathumar,Khonkhar
Alwar,Kathumar,Kuttin Sahabdas
Alwar,Kathumar,Maithna
Alwar,Kathumar,Mangolaki
Alwar,Kathumar,Masari
Alwar,Kathumar,Mathura Hera
Alwar,Kathumar,Nahar Khohra
Alwar,Kathumar,Nangal Roopa
Alwar,Kathumar,Natoj
Alwar,Kathumar,Noorpur
Alwar,Kathumar,Rampura Patan
Alwar,Kathumar,Reta
Alwar,Kathumar,Roneeja Than
Alwar,Kathumar,Sahari
Alwar,Kathumar,Salwari
Alwar,Kathumar,Samoochi
Alwar,Kathumar,Sonkh
Alwar,Kathumar,Sonkhari
Alwar,Kathumar,Sonkhar (Rural)
Alwar,Kathumar,Tasai
Alwar,Kathumar,Teekri
Alwar,Kathumar,Tigariya
Alwar,Kathumar,Titpuri
Alwar,Kathumar,Toda
Alwar,Laxmangarh,Badka
Alwar,Laxmangarh,Berla
Alwar,Laxmangarh,Bichgaon
Alwar,Laxmangarh,Boontoli
Alwar,Laxmangarh,Chimrawali Gorh
Alwar,Laxmangarh,Deenar
Alwar,Laxmangarh,Deewli
Alwar,Laxmangarh,Gandoora
Alwar,Laxmangarh,Gothra
Alwar,Laxmangarh,Harsana
Alwar,Laxmangarh,Hasanpur
Alwar,Laxmangarh,Jawli
Alwar,Laxmangarh,Jhalatala
Alwar,Laxmangarh,Kafanvada
Alwar,Laxmangarh,Khera Mangal Singh
Alwar,Laxmangarh,Khohra Malawali
Alwar,Laxmangarh,Khudiyana
Alwar,Laxmangarh,Nangal Khanjadi
Alwar,Laxmangarh,Narnaul Khurd
Alwar,Laxmangarh,Rasoolpur
Alwar,Laxmangarh,Sahadka
Alwar,Laxmangarh,Sehra
Alwar,Laxmangarh,Sorai
Alwar,Laxmangarh,Todanagar
Alwar,Rajgarh,Alei
Alwar,Rajgarh,Baldeogarh
Alwar,Rajgarh,Beeghota
Alwar,Rajgarh,Bhajeda
Alwar,Rajgarh,Birkari
Alwar,Rajgarh,Dhamred
Alwar,Rajgarh,Dhiroda
Alwar,Rajgarh,Digawara
Alwar,Rajgarh,Dubbi
Alwar,Rajgarh,Firozpur Jageer
Alwar,Rajgarh,Ghewar
Alwar,Rajgarh,Gola Ka Bas
Alwar,Rajgarh,Khoh
Alwar,Rajgarh,Kleshan
Alwar,Rajgarh,Koondla
Alwar,Rajgarh,Mallana
Alwar,Rajgarh,Motiwara
Alwar,Rajgarh,Nandu
Alwar,Rajgarh,Nathalwara
Alwar,Rajgarh,Nayagaon Bolka
Alwar,Rajgarh,Neemla
Alwar,Rajgarh,Palwa
Alwar,Rajgarh,Rajgarh (Rural)
Alwar,Rajgarh,Rajor
Alwar,Rajgarh,Rajpur Bara
Alwar,Rajgarh,Sakat
Alwar,Rajgarh,Shri Chandpura
Alwar,Rajgarh,Surer
Alwar,Rajgarh,Syaluta
Alwar,Rajgarh,Tahla
Alwar,Rajgarh,Talab
Alwar,Rajgarh,Thana
Alwar,Rajgarh,Tilwar
Alwar,Rajgarh,Toda Jaisinghpura
Alwar,Ramgarh,Alawara
Alwar,Ramgarh,Bagar Meo
Alwar,Ramgarh,Bagar Rajput
Alwar,Ramgarh,Bahala
Alwar,Ramgarh,Bamboli
Alwar,Ramgarh,Beejwa
Alwar,Ramgarh,Bera Bas
Alwar,Ramgarh,Chauma
Alwar,Ramgarh,Cheerwa
Alwar,Ramgarh,Choroti Pahar
Alwar,Ramgarh,Dabari
Alwar,Ramgarh,Dhadholi
Alwar,Ramgarh,Garhi
Alwar,Ramgarh,Hajipur
Alwar,Ramgarh,Jatpur
Alwar,Ramgarh,Kesroli
Alwar,Ramgarh,Khalsa Nagar
Alwar,Ramgarh,Khanpur Kalan
Alwar,Ramgarh,Khilora
Alwar,Ramgarh,Khoh
Alwar,Ramgarh,Khohrakarmali
Alwar,Ramgarh,Khunteta Kalan
Alwar,Ramgarh,Lalavandi
Alwar,Ramgarh,Milakpur
Alwar,Ramgarh,Moonpur
Alwar,Ramgarh,Nagli Megha
Alwar,Ramgarh,Nangal Tappa
Alwar,Ramgarh,Nangla Banjeerka
Alwar,Ramgarh,Neekach
Alwar,Ramgarh,Raghunathgarh
Alwar,Ramgarh,Rasgan
Alwar,Ramgarh,Sahdoli
Alwar,Ramgarh,Senthli
Alwar,Ramgarh,Thengi Ka Bas
Alwar,Ramgarh,Tikari
Alwar,Ramgarh,Untwal
Alwar,Reni,Bahadkho Kalan
Alwar,Reni,Bairer
Alwar,Reni,Bhajera
Alwar,Reni,Bhooda
Alwar,Reni,Bhuleri
Alwar,Reni,Bileta
Alwar,Reni,Chhilodi
Alwar,Reni,Dera
Alwar,Reni,Doroli
Alwar,Reni,Garhi Sawairam
Alwar,Reni,Itoli
Alwar,Reni,Jamdoli
Alwar,Reni,Kaneti
Alwar,Reni,Keelpur
Alwar,Reni,Machari
Alwar,Reni,Pada
Alwar,Reni,Parbaini
Alwar,Reni,Patan
Alwar,Reni,Pinan
Alwar,Reni,Pragpura
Alwar,Reni,Rajpur Chhota
Alwar,Reni,Rampura
Alwar,Reni,Saloli
Alwar,Reni,Tahtara
Alwar,Reni,Vabeli
Alwar,Thanagazi,Agar
Alwar,Thanagazi,Ajabgarh
Alwar,Thanagazi,Ajabpura
Alwar,Thanagazi,Angari
Alwar,Thanagazi,Bamanwas Chaugan
Alwar,Thanagazi,Bamanwas Kankar
Alwar,Thanagazi,Basai Jogiyan
Alwar,Thanagazi,Bheekampura
Alwar,Thanagazi,Bhoodiyawas
Alwar,Thanagazi,Bhooriyawas
Alwar,Thanagazi,Chandpuri
Alwar,Thanagazi,Duhar Chaugan
Alwar,Thanagazi,Dwarapur
Alwar,Thanagazi,Garh Basai
Alwar,Thanagazi,Garhi
Alwar,Thanagazi,Gurha Churani
Alwar,Thanagazi,Guwada Bhopala
Alwar,Thanagazi,Jhiri
Alwar,Thanagazi,Jodhawas
Alwar,Thanagazi,Kaled
Alwar,Thanagazi,Kanpur Louge
Alwar,Thanagazi,Kharkhari Kalan
Alwar,Thanagazi,Kishori
Alwar,Thanagazi,Kolahera
Alwar,Thanagazi,Kyara
Alwar,Thanagazi,Lalpura
Alwar,Thanagazi,Malootana
Alwar,Thanagazi,Mejod
Alwar,Thanagazi,Mundawara
Alwar,Thanagazi,Nangal Bani
Alwar,Thanagazi,Narayanpur
Alwar,Thanagazi,Padak Chhapli
Alwar,Thanagazi,Piplai
Alwar,Thanagazi,Pratapgarh
Alwar,Thanagazi,Saleta
Alwar,Thanagazi,Samra
Alwar,Thanagazi,Seeli Baori
Alwar,Thanagazi,Surjanpur
Alwar,Thanagazi,Vijaypura
Alwar,Umren,Akbarpur
Alwar,Umren,Bakhtpura
Alwar,Umren,Belaka
Alwar,Umren,Bhajeet
Alwar,Umren,Bhakheda
Alwar,Umren,Bhandwara
Alwar,Umren,Bhoogar
Alwar,Umren,Chandoli
Alwar,Umren,Desoola
Alwar,Umren,Dhahalawas
Alwar,Umren,Diwakari
Alwar,Umren,Ghatla
Alwar,Umren,Ghegholi
Alwar,Umren,Gujuki
Alwar,Umren,Hajipur
Alwar,Umren,Jaharkheda
Alwar,Umren,Jatiyana
Alwar,Umren,Kakrali
Alwar,Umren,Kasba Dahra
Alwar,Umren,Kesharpur
Alwar,Umren,Khedka
Alwar,Umren,Maachdi
Alwar,Umren,Nagla Raisees
Alwar,Umren,Nandanhedi
Alwar,Umren,Palkhari
Alwar,Umren,Rayabka
Alwar,Umren,Sahori
Alwar,Umren,Sainthali
Alwar,Umren,Shahpur
Alwar,Umren,Sirmoli
Alwar,Umren,Thekada
Alwar,Umren,Toolera
Alwar,Umren,Umren
Alwar,Rajgarh,Bairasar Chhota
Alwar,Rajgarh,Beenjawas
Alwar,Rajgarh,Bewad
Alwar,Rajgarh,Bhagela
Alwar,Rajgarh,Bhainsali
Alwar,Rajgarh,Bheemsana
Alwar,Rajgarh,Bhojana
Alwar,Rajgarh,Bhuwari
Alwar,Rajgarh,Birmi Khalsa
Alwar,Rajgarh,Chainpura Bara
Alwar,Rajgarh,Chainpura Chhota
Alwar,Rajgarh,Chand Gothi
Alwar,Rajgarh,Dadrewa
Alwar,Rajgarh,Devipura
Alwar,Rajgarh,Dhandhal Lekhoo
Alwar,Rajgarh,Dhani Bari
Alwar,Rajgarh,Dhani Mauji
Alwar,Rajgarh,Dhanohti Bari
Alwar,Rajgarh,Dhigarla
Alwar,Rajgarh,Dokwa
Alwar,Rajgarh,Gagrwas
Alwar,Rajgarh,Galar
Alwar,Rajgarh,Ghanau
Alwar,Rajgarh,Gothyan Bari
Alwar,Rajgarh,Gugalwa
Alwar,Rajgarh,Gulpura
Alwar,Rajgarh,Hameerwas Bara
Alwar,Rajgarh,Harpaloo Kubdi
Alwar,Rajgarh,Harpaloo Kushala
Alwar,Rajgarh,Jaswantpura
Alwar,Rajgarh,Kalana
Alwar,Rajgarh,Kalri
Alwar,Rajgarh,Kanjan
Alwar,Rajgarh,Khairoo Bari
Alwar,Rajgarh,Khuddi
Alwar,Rajgarh,Khyali
Alwar,Rajgarh,Lakhlan
Alwar,Rajgarh,Lambor Bari
Alwar,Rajgarh,Lasedi
Alwar,Rajgarh,Leelawathi
Alwar,Rajgarh,Leelki
Alwar,Rajgarh,Mahlana Utrada
Alwar,Rajgarh,Manpura
Alwar,Rajgarh,Modawasi
Alwar,Rajgarh,Mundi Tal
Alwar,Rajgarh,Naurangpura
Alwar,Rajgarh,Nawan
Alwar,Rajgarh,Neema
Alwar,Rajgarh,Neshal
Alwar,Rajgarh,Noohand
Alwar,Rajgarh,Nyagal Chhoti
Alwar,Rajgarh,Paharsar
Alwar,Rajgarh,Radha Chhoti
Alwar,Rajgarh,Ragha Bari
Alwar,Rajgarh,Rampura
Alwar,Rajgarh,Ramsara Tal
Alwar,Rajgarh,Ratanpura
Alwar,Rajgarh,Rawatsar Kunjala
Alwar,Rajgarh,Sankhan Tal
Alwar,Rajgarh,Sankhoo
Alwar,Rajgarh,Seowa
Alwar,Rajgarh,Sidhmukh
Alwar,Rajgarh,Sulkhaniya Chhota
Alwar,Rajgarh,Suratpura
Alwar,Rajgarh,Tamba Kheri
Alwar,Rajgarh,Thimau Choti
Alwar,Rajgarh,Thirpali Bari
Alwar,Rajgarh,Vijaypura
Alwar,Govindgarh,Aalisar
Alwar,Govindgarh,Aashti Kalan
Alwar,Govindgarh,Amarpura
Alwar,Govindgarh,Anantpura Jet
Alwar,Govindgarh,Anatpura Chi
Alwar,Govindgarh,Bhutera
Alwar,Govindgarh,Chithwadi
Alwar,Govindgarh,Devthala
Alwar,Govindgarh,Dhoblai
Alwar,Govindgarh,Dhodhsar
Alwar,Govindgarh,Dola Ka Bas
Alwar,Govindgarh,Fatehpura
Alwar,Govindgarh,Ghinoi
Alwar,Govindgarh,Govindgarh
Alwar,Govindgarh,Gudliya
Alwar,Govindgarh,Harota
Alwar,Govindgarh,Hastera
Alwar,Govindgarh,Hathanoda
Alwar,Govindgarh,Itawa Bhopji
Alwar,Govindgarh,Jaisinghpura
Alwar,Govindgarh,Jaitpura
Alwar,Govindgarh,Jatawali
Alwar,Govindgarh,Kaladera
Alwar,Govindgarh,Kanpura
Alwar,Govindgarh,Kanwarpura
Alwar,Govindgarh,Khejroli
Alwar,Govindgarh,Kishanpura
Alwar,Govindgarh,Kushalpura
Alwar,Govindgarh,Loharwara
Alwar,Govindgarh,Mahar Kala
Alwar,Govindgarh,Malikpur
Alwar,Govindgarh,Manda Bhinda
Alwar,Govindgarh,Morija
Alwar,Govindgarh,Nagal- Bharada
Alwar,Govindgarh,Nagal -Koju
Alwar,Govindgarh,Nangal -Govind
Alwar,Govindgarh,Nangal- Kalan
Alwar,Govindgarh,Narsinghpura
Alwar,Govindgarh,Nindola
Alwar,Govindgarh,Niwana
Alwar,Govindgarh,Samod
Alwar,Govindgarh,Sandarsar
Alwar,Govindgarh,Singod Khurd
Alwar,Govindgarh,Singod Klan
Alwar,Govindgarh,Tankarda
Alwar,Govindgarh,Tigariya
Alwar,Govindgarh,Udaipuriya
Alwar,Govindgarh,Vijaya Singh Pura
Alwar,Govindgarh,Vimalpura
Balotra,Baytoo,Akdara
Balotra,Baytoo,Baitu Bhimji
Balotra,Baytoo,Baitu Bhopji
Balotra,Baytoo,Baitu Chimanji
Balotra,Baytoo,Baitu Panji
Balotra,Baytoo,Batadu
Balotra,Baytoo,Bheemda
Balotra,Baytoo,Bhojasar
Balotra,Baytoo,Booth Sara
Balotra,Baytoo,Borwa
Balotra,Baytoo,Chhitar Ka Par
Balotra,Baytoo,Chokhla
Balotra,Baytoo,Hemji Ka Tala
Balotra,Baytoo,Hudon Ki Dhani
Balotra,Baytoo,Janguon Ki Dhani
Balotra,Baytoo,Jhak
Balotra,Baytoo,Jogasar
Balotra,Baytoo,Khanji Ka Tala
Balotra,Baytoo,Khipsar
Balotra,Baytoo,Khoton Ki Dhani
Balotra,Baytoo,Kolu
Balotra,Baytoo,Kosariya
Balotra,Baytoo,Lapla
Balotra,Baytoo,Lilala
Balotra,Baytoo,Loonada
Balotra,Baytoo,Madhasar
Balotra,Baytoo,Madpura Barwala
Balotra,Baytoo,Nagani Dhaterwalo Ki Dhani
Balotra,Baytoo,Narsali Nadi
Balotra,Baytoo,Nayaa Somesara
Balotra,Baytoo,Nimbaniyon Ki Dhani
Balotra,Baytoo,Nosar
Balotra,Baytoo,Panawara
Balotra,Baytoo,Rewali
Balotra,Baytoo,Saiyon Ka Tala
Balotra,Baytoo,Seoniyala
Balotra,Baytoo,Singoriya
Balotra,Baytoo,Virendra Nagar
Balotra,Gira,Cheebi
Balotra,Gira,Chidiya
Balotra,Gira,Chimoniyon Ki Dhani
Balotra,Gira,Danpura
Balotra,Gira,Devpura Urf Gogasar
Balotra,Gira,Gira
Balotra,Gira,Heera Ki Dhani
Balotra,Gira,Jagaram Ki Dhani
Balotra,Gira,Jajava
Balotra,Gira,Jakhara
Balotra,Gira,Kanor
Balotra,Gira,Karaliya Bera
Balotra,Gira,Kashumbla Bhatiyan
Balotra,Gira,Kharada Bharat Singh
Balotra,Gira,Kharapar
Balotra,Gira,Khokhsar
Balotra,Gira,Khokhsar Paschim
Balotra,Gira,Khokhsar Purv
Balotra,Gira,Kumpaliya
Balotra,Gira,Lapundara Barhthan
Balotra,Gira,Madon Ki Dhani
Balotra,Gira,Manpura Kharda
Balotra,Gira,Megwalon Ki Basti
Balotra,Gira,Neemba Ki Dhani
Balotra,Gira,Pareu
Balotra,Gira,Patalinadi
Balotra,Gira,Puniyo Ka Tala
Balotra,Gira,Radiya Talar
Balotra,Gira,Rateu
Balotra,Gira,Santra
Balotra,Gira,Sawau Moolraj
Balotra,Gira,Sawau Padamsingh
Balotra,Gira,Shahar
Balotra,Gira,Shyampura
Balotra,Gira,Sohada
Balotra,Gira,Utarani
Balotra,Kalyanpur,Araba Chohan
Balotra,Kalyanpur,Araba Dudawatan
Balotra,Kalyanpur,Balau Jati
Balotra,Kalyanpur,Chacharlai Kalla
Balotra,Kalyanpur,Deoriya
Balotra,Kalyanpur,Dhani Shankhala
Balotra,Kalyanpur,Doli Kalla
Balotra,Kalyanpur,Doli Rajgura
Balotra,Kalyanpur,Gangawas
Balotra,Kalyanpur,Gharoi Charnan
Balotra,Kalyanpur,Godawas
Balotra,Kalyanpur,Gwalnada
Balotra,Kalyanpur,Jasti
Balotra,Kalyanpur,Kalyanpur
Balotra,Kalyanpur,Kankrala
Balotra,Kalyanpur,Kheepali Khera
Balotra,Kalyanpur,Korna
Balotra,Kalyanpur,Kuri
Balotra,Kalyanpur,Mandli
Balotra,Kalyanpur,Mool Ki Dhani
Balotra,Kalyanpur,Nagana
Balotra,Kalyanpur,Newri
Balotra,Kalyanpur,Patau Khurd
Balotra,Kalyanpur,Rorwa Kalan
Balotra,Kalyanpur,Sarwari
Balotra,Kalyanpur,Soorpura
Balotra,Kalyanpur,Thob
Balotra,Kalyanpur,Thumbli
Balotra,Kalyanpur,Tirsingri Sodha
Balotra,Panyla Kla,Amaliyala
Balotra,Panyla Kla,Darguda
Balotra,Panyla Kla,Ed Manji
Balotra,Panyla Kla,Ed - Sindhari
Balotra,Panyla Kla,Kadanari
Balotra,Panyla Kla,Kagon Ki Dhani
Balotra,Panyla Kla,Khudala
Balotra,Panyla Kla,Koshloo
Balotra,Panyla Kla,Lolawa
Balotra,Panyla Kla,Loona Kalan
Balotra,Panyla Kla,Motisara
Balotra,Panyla Kla,Nai Undari
Balotra,Panyla Kla,Nehro Ki Dhani
Balotra,Panyla Kla,Payla Kalan
Balotra,Panyla Kla,Payla Khurd
Balotra,Panyla Kla,Ramdeora
Balotra,Panyla Kla,Sara
Balotra,Panyla Kla,Saradhanji
Balotra,Panyla Kla,Sara Jhoond
Balotra,Panyla Kla,Talbaniyo Ki Dhani
Balotra,Patodi,Bagawas
Balotra,Patodi,Baniyawas
Balotra,Patodi,Barnawa Jageer
Balotra,Patodi,Bhagwanpura
Balotra,Patodi,Bhakarsar
Balotra,Patodi,Chilanadi
Balotra,Patodi,Daukiyon Ka Tala
Balotra,Patodi,Dhurgapura
Balotra,Patodi,Gangapura
Balotra,Patodi,Jawahar Pura
Balotra,Patodi,Kalewa
Balotra,Patodi,Kanwarli Suraj Bera
Balotra,Patodi,Kesarpura
Balotra,Patodi,Khanora
Balotra,Patodi,Khardi
Balotra,Patodi,Kharinadi
Balotra,Patodi,Lakhaniyon Ki Dhani
Balotra,Patodi,Mohanpura
Balotra,Patodi,Mukanpura
Balotra,Patodi,Navatala
Balotra,Patodi,Nawoda Bera
Balotra,Patodi,Nayapura
Balotra,Patodi,Okatiya Bera
Balotra,Patodi,Patasar
Balotra,Patodi,Patodi
Balotra,Patodi,Reenchholi
Balotra,Patodi,Sajiyali Padam Singh
Balotra,Patodi,Sajiyali Roopji Rajaberi
Balotra,Patodi,Sambhra
Balotra,Patodi,Sangranadi
Balotra,Patodi,Simarkhiya
Balotra,Samdari,Ajeet
Balotra,Samdari,Ambon Ka Bara
Balotra,Samdari,Baamseen
Balotra,Samdari,Bhalaron Ka Bara
Balotra,Samdari,Devra
Balotra,Samdari,Dhindas
Balotra,Samdari,Jethantari
Balotra,Samdari,Kamon Ka Bara
Balotra,Samdari,Karmawas
Balotra,Samdari,Khandap
Balotra,Samdari,Khejariyali
Balotra,Samdari,Kotari
Balotra,Samdari,Lalana
Balotra,Samdari,Majal
Balotra,Samdari,Phoolan
Balotra,Samdari,Rakhi
Balotra,Samdari,Rampura
Balotra,Samdari,Rani Desipura
Balotra,Samdari,Ratri
